Index ID,Index Name,Equation
0,"Ferric Iron, Fe3+ Index",(b2 / b1)
1,"Ferrous Iron, Fe2+ Index",((b5 / b3) + (b1 / b2))
2,Laterite Index,(b4 / b5)
3,Gossan Index,(b4 / b2)
4,Ferrous Silicates Index,(b5 / b4)
5,Ferric Oxides Index,(b4 / b3)
6,Carbonate / Chlorite / Epidote Index,((b7 + b9) / b8)
7,Mg-OH Alteration Epidote / Chlorite / Amphibole Index (Propylitic Alteration),((b6 + b9) / (b7 + b8))
8,Amphibole / MgOH Index,((b6 + b9) / b8)
9,Amphibole Index,(b6 / b8)
10,Dolomite Index,(b6 + b8 / b7)
11,Sericite / Muscovite / Illite / Smectite Index,((b5 + b7) / b6)
12,Alunite / Kaolinite / Pyrophyllite Index,((b4 + b6) / b5)
13,Phengitic Index,(b5 / b6)
14,Muscovite Index,(b7 / b6)
15,Kaolinite Index,(b7 / b5)
16,Clay Index,((b5 \ b7) / (b6^2))
17,Kaolinite Index (Argillic Alteration),((b4 / b5) * (b8 / b6))
18,Alunite Index (Advanced Argillic Alteration),((b7 / b5) * (b7 / b8))
19,Al-OH Alteration Index (Phyllic Alteration),((b4 \ b7) / (b6^2))
20,Calcite Index,((b6 \ b9) / (b8^2))
